,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-01-03 05:00:00,141.29102265609743,112.77867340050008,176.89267997302267,141.29102265609743,141.29102265609743,3.7342402327885966,3.7342402327885966,3.7342402327885966,3.7342402327885966,3.7342402327885966,3.7342402327885966,0.0,0.0,0.0,145.02526288888603
1,2023-01-04 05:00:00,141.78549448025768,115.47867292926233,176.64254235862794,141.78549448025768,141.78549448025768,4.96441127050633,4.96441127050633,4.96441127050633,4.96441127050633,4.96441127050633,4.96441127050633,0.0,0.0,0.0,146.74990575076401
2,2023-01-05 05:00:00,142.2799663044179,113.65744196239625,172.83839137564883,142.2799663044179,142.2799663044179,2.3934781851037177,2.3934781851037177,2.3934781851037177,2.3934781851037177,2.3934781851037177,2.3934781851037177,0.0,0.0,0.0,144.67344448952164
3,2023-01-06 05:00:00,142.7744381285782,118.24592659890666,177.88825085779527,142.7744381285782,142.7744381285782,4.886473356143437,4.886473356143437,4.886473356143437,4.886473356143437,4.886473356143437,4.886473356143437,0.0,0.0,0.0,147.66091148472162
4,2023-01-09 05:00:00,144.25785360105897,118.30897273675616,178.9392657165571,144.25785360105897,144.25785360105897,4.65497319155506,4.65497319155506,4.65497319155506,4.65497319155506,4.65497319155506,4.65497319155506,0.0,0.0,0.0,148.91282679261403
5,2023-01-10 05:00:00,144.75232542521923,117.37268623843954,178.86916197174378,144.75232542521923,144.75232542521923,3.734240232905281,3.734240232905281,3.734240232905281,3.734240232905281,3.734240232905281,3.734240232905281,0.0,0.0,0.0,148.4865656581245
6,2023-01-11 05:00:00,145.24679724937948,121.12168754501802,179.32622881584106,145.24679724937948,145.24679724937948,4.964411270356032,4.964411270356032,4.964411270356032,4.964411270356032,4.964411270356032,4.964411270356032,0.0,0.0,0.0,150.21120851973552
7,2023-01-12 05:00:00,145.74126907353974,119.5788080513647,177.10531460452037,145.74126907353974,145.74126907353974,2.3934781850863174,2.3934781850863174,2.3934781850863174,2.3934781850863174,2.3934781850863174,2.3934781850863174,0.0,0.0,0.0,148.13474725862605
8,2023-01-13 05:00:00,146.2357408977,122.11828986110713,181.50159871400686,146.2357408977,146.2357408977,4.886473356093011,4.886473356093011,4.886473356093011,4.886473356093011,4.886473356093011,4.886473356093011,0.0,0.0,0.0,151.122214253793
9,2023-01-17 05:00:00,148.21362820083644,123.04031683707977,181.92277593165716,148.21362820083644,148.21362820083644,3.734240232837934,3.734240232837934,3.734240232837934,3.734240232837934,3.734240232837934,3.734240232837934,0.0,0.0,0.0,151.9478684336744
10,2023-01-18 05:00:00,148.70810002662057,124.69732449092157,182.68266547343524,148.70810002662057,148.70810002662057,4.964411270429982,4.964411270429982,4.964411270429982,4.964411270429982,4.964411270429982,4.964411270429982,0.0,0.0,0.0,153.67251129705056
11,2023-01-19 05:00:00,149.20257185240467,120.99445669334906,180.69122575168936,149.20257185240467,149.20257185240467,2.393478185120783,2.393478185120783,2.393478185120783,2.393478185120783,2.393478185120783,2.393478185120783,0.0,0.0,0.0,151.59605003752546
12,2023-01-20 05:00:00,149.6970436781888,125.10343411870241,184.57943403042407,149.6970436781888,149.6970436781888,4.886473356166377,4.886473356166377,4.886473356166377,4.886473356166377,4.886473356166377,4.886473356166377,0.0,0.0,0.0,154.58351703435517
13,2023-01-23 05:00:00,151.18045915554114,125.57767878184836,185.47484720032415,151.18045915554114,151.18045915554114,4.654973191574581,4.654973191574581,4.654973191574581,4.654973191574581,4.654973191574581,4.654973191574581,0.0,0.0,0.0,155.83543234711573
14,2023-01-24 05:00:00,151.67493098132528,125.90650340948363,187.10465397362395,151.67493098132528,151.67493098132528,3.7342402328420965,3.7342402328420965,3.7342402328420965,3.7342402328420965,3.7342402328420965,3.7342402328420965,0.0,0.0,0.0,155.40917121416737
15,2023-01-25 05:00:00,152.16940280710938,125.5048842901145,186.316925482605,152.16940280710938,152.16940280710938,4.964411270503934,4.964411270503934,4.964411270503934,4.964411270503934,4.964411270503934,4.964411270503934,0.0,0.0,0.0,157.13381407761332
16,2023-01-26 05:00:00,152.66387463289348,124.79388447472192,183.84368971494777,152.66387463289348,152.66387463289348,2.3934781850452196,2.3934781850452196,2.3934781850452196,2.3934781850452196,2.3934781850452196,2.3934781850452196,0.0,0.0,0.0,155.0573528179387
17,2023-01-27 05:00:00,153.15834645181067,128.36659079891663,190.29931406741085,153.15834645181067,153.15834645181067,4.886473356153604,4.886473356153604,4.886473356153604,4.886473356153604,4.886473356153604,4.886473356153604,0.0,0.0,0.0,158.04481980796427
18,2023-01-30 05:00:00,154.64176190856224,129.26082960812388,189.37799042513663,154.64176190856224,154.64176190856224,4.654973191584341,4.654973191584341,4.654973191584341,4.654973191584341,4.654973191584341,4.654973191584341,0.0,0.0,0.0,159.29673510014658
19,2023-01-31 05:00:00,155.13623372747944,131.3848170877637,191.94773825539636,155.13623372747944,155.13623372747944,3.7342402327747535,3.7342402327747535,3.7342402327747535,3.7342402327747535,3.7342402327747535,3.7342402327747535,0.0,0.0,0.0,158.8704739602542
20,2023-02-01 05:00:00,155.63070554639663,132.88260459790104,188.87585651749347,155.63070554639663,155.63070554639663,4.9644112703536365,4.9644112703536365,4.9644112703536365,4.9644112703536365,4.9644112703536365,4.9644112703536365,0.0,0.0,0.0,160.59511681675025
